19:38:34.270 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/reports],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.dto.ReportDTO>> com.simple2secure.portal.controller.ReportController.getAvailableReports(java.lang.String)
19:38:34.270 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/reports/network/{userId}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.NetworkReport>> com.simple2secure.portal.controller.ReportController.getNetworkReportsByUserId(java.lang.String,java.lang.String)
19:38:34.271 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/reports/network],methods=[POST],consumes=[application/json]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.NetworkReport> com.simple2secure.portal.controller.ReportController.saveNetworkReport(com.simple2secure.api.model.NetworkReport,java.lang.String)
19:38:34.271 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/reports/{userId}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.Report>> com.simple2secure.portal.controller.ReportController.getReportsByUserId(java.lang.String,java.lang.String)
19:38:34.271 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/reports],methods=[POST],consumes=[application/json]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Report> com.simple2secure.portal.controller.ReportController.saveReport(com.simple2secure.api.model.Report,java.lang.String)
19:38:34.271 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/reports/report/{id}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Report> com.simple2secure.portal.controller.ReportController.getReportByID(java.lang.String,java.lang.String)
19:38:34.271 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/reports/{id}],methods=[DELETE]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Report> com.simple2secure.portal.controller.ReportController.deleteReport(java.lang.String,java.lang.String)
19:38:34.272 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/rule/{toolId}/{userId}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.FrontendRule>> com.simple2secure.portal.controller.RuleController.getEmailMessagesByUserID(java.lang.String,java.lang.String,java.lang.String)
19:38:34.272 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/rule],methods=[POST],consumes=[application/json]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.FrontendRule> com.simple2secure.portal.controller.RuleController.addOrUpdateRule(com.simple2secure.api.model.FrontendRule,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException
19:38:34.272 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.Service>> com.simple2secure.portal.controller.ServiceController.getAvailableServices(java.lang.String)
19:38:34.272 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/settings],methods=[POST],consumes=[application/json]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Settings> com.simple2secure.portal.controller.SettingsController.updateSettings(com.simple2secure.api.model.Settings,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException
19:38:34.272 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/settings],methods=[GET]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Settings> com.simple2secure.portal.controller.SettingsController.getSettings(java.lang.String)
19:38:34.273 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/steps/group/{groupId}/{select_all}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.Step>> com.simple2secure.portal.controller.StepController.getStepsByGroupId(java.lang.String,boolean,java.lang.String)
19:38:34.273 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/steps/{probeId}/{select_all}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.Step>> com.simple2secure.portal.controller.StepController.getStepsByProbeId(java.lang.String,boolean,java.lang.String)
19:38:34.274 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/steps/{stepId}],methods=[DELETE]}" onto public org.springframework.http.ResponseEntity<?> com.simple2secure.portal.controller.StepController.deleteProcessor(java.lang.String,java.lang.String)
19:38:34.274 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/steps],methods=[POST],consumes=[application/json]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Step> com.simple2secure.portal.controller.StepController.saveOrUpdateStep(com.simple2secure.api.model.Step,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException
19:38:34.274 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/tool/{user_id}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.Tool>> com.simple2secure.portal.controller.ToolController.getPacketByUserID(java.lang.String,java.lang.String)
19:38:34.275 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/tool/{userID}],methods=[POST],consumes=[application/json]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Tool> com.simple2secure.portal.controller.ToolController.saveTool(com.simple2secure.api.model.Tool,java.lang.String,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException
19:38:34.275 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/tools],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.Tool>> com.simple2secure.portal.controller.ToolController.getAllTools(java.lang.String)
19:38:34.275 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/tool/{name}/run],methods=[POST]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.TestResult> com.simple2secure.portal.controller.ToolController.runCommand(com.simple2secure.api.model.Test,java.lang.String,java.lang.String) throws java.lang.InterruptedException,io.kubernetes.client.ApiException,java.io.IOException
19:38:34.276 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/group/{groupID}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.CompanyGroup> com.simple2secure.portal.controller.UserController.getGroup(java.lang.String,java.lang.String)
19:38:34.276 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/resetPassword/{token}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.User> com.simple2secure.portal.controller.UserController.showChangePasswordPage(java.lang.String,java.lang.String) throws java.net.URISyntaxException
19:38:34.277 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/sendResetPasswordEmail],methods=[POST]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.User> com.simple2secure.portal.controller.UserController.sendResetPasswordEmail(java.lang.String,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException,java.io.IOException
19:38:34.277 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/activate/updatePassword/{authenticationToken}],methods=[POST]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.User> com.simple2secure.portal.controller.UserController.updateUserPasswordFirstLogin(java.lang.String,java.lang.String,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException,java.net.URISyntaxException,java.io.IOException
19:38:34.277 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/groups/{userID}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.dto.CompanyGroupDTO>> com.simple2secure.portal.controller.UserController.getGroupsByUserID(java.lang.String,java.lang.String)
19:38:34.277 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/updatePassword/{token}],methods=[POST]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.User> com.simple2secure.portal.controller.UserController.updateUserPassword(java.lang.String,java.lang.String,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException,java.net.URISyntaxException,java.io.IOException
19:38:34.277 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/devices/{userID}]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.Probe>> com.simple2secure.portal.controller.UserController.getProbesByUserID(java.lang.String,java.lang.String)
19:38:34.277 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/{id}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.dto.UserDTO> com.simple2secure.portal.controller.UserController.getUserByID(java.lang.String,java.lang.String)
19:38:34.278 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/register/{type}],methods=[POST],consumes=[application/json]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.User> com.simple2secure.portal.controller.UserController.registerUser(com.simple2secure.api.model.User,java.lang.String,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException,java.io.IOException,java.net.URISyntaxException
19:38:34.278 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/activate/{activationToken}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<org.springframework.core.io.InputStreamResource> com.simple2secure.portal.controller.UserController.activateUser(java.lang.String,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException,java.net.URISyntaxException,java.io.IOException
19:38:34.278 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/{id}],methods=[DELETE]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.User> com.simple2secure.portal.controller.UserController.deleteUser(java.lang.String,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException
19:38:34.278 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.User>> com.simple2secure.portal.controller.UserController.getUsers(java.lang.String)
19:38:34.278 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/{type}],methods=[POST]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.User> com.simple2secure.portal.controller.UserController.insertUser(com.simple2secure.api.model.User,java.lang.String,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException,java.io.IOException,java.net.URISyntaxException
19:38:34.278 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/group],methods=[POST]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.CompanyGroup> com.simple2secure.portal.controller.UserController.addGroup(com.simple2secure.api.model.CompanyGroup,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException
19:38:34.279 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/group/{groupID}],methods=[DELETE]}" onto public org.springframework.http.ResponseEntity<?> com.simple2secure.portal.controller.UserController.deleteGroup(java.lang.String,java.lang.String)
19:38:34.279 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/users/group/user/{userId}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.CompanyGroup>> com.simple2secure.portal.controller.UserController.getGroupsByUserId(java.lang.String,java.lang.String)
